# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001043175.1	Primary Assembly	chromosome		NZ_CP011494.1	190	1629	+					dnaA		ABA45_RS00005	1440		old_locus_tag=ABA45_00005
CDS	with_protein	GCF_001043175.1	Primary Assembly	chromosome		NZ_CP011494.1	190	1629	+	WP_048383411.1	WP_048383411.1		chromosomal replication initiator protein DnaA	dnaA		ABA45_RS00005	1440	479	
gene	protein_coding	GCF_001043175.1	Primary Assembly	chromosome		NZ_CP011494.1	1701	2804	+					dnaN		ABA45_RS00010	1104		old_locus_tag=ABA45_00010
CDS	with_protein	GCF_001043175.1	Primary Assembly	chromosome		NZ_CP011494.1	1701	2804	+	WP_048383414.1	WP_048383414.1		DNA polymerase III subunit beta	dnaN		ABA45_RS00010	1104	367	
gene	protein_coding	GCF_001043175.1	Primary Assembly	chromosome		NZ_CP011494.1	2917	4191	+							ABA45_RS00015	1275		old_locus_tag=ABA45_00015
CDS	with_protein	GCF_001043175.1	Primary Assembly	chromosome		NZ_CP011494.1	2917	4191	+	WP_048383416.1	WP_048383416.1		AarF/ABC1/UbiB kinase family protein			ABA45_RS00015	1275	424	
gene	pseudogene	GCF_001043175.1	Primary Assembly	chromosome		NZ_CP011494.1	4215	4430	+							ABA45_RS19145	216		partial;pseudo
CDS	without_protein	GCF_001043175.1	Primary Assembly	chromosome		NZ_CP011494.1	4215	4430	+				AAA family ATPase			ABA45_RS19145	216		partial;pseudo
gene	protein_coding	GCF_001043175.1	Primary Assembly	chromosome		NZ_CP011494.1	4422	5450	+					recF		ABA45_RS00020	1029		old_locus_tag=ABA45_00020
CDS	with_protein	GCF_001043175.1	Primary Assembly	chromosome		NZ_CP011494.1	4422	5450	+	WP_227506259.1	WP_227506259.1		DNA replication and repair protein RecF	recF		ABA45_RS00020	1029	342	
gene	protein_coding	GCF_001043175.1	Primary Assembly	chromosome		NZ_CP011494.1	5504	7918	+					gyrB		ABA45_RS00025	2415		old_locus_tag=ABA45_00025
CDS	with_protein	GCF_001043175.1	Primary Assembly	chromosome		NZ_CP011494.1	5504	7918	+	WP_048383420.1	WP_048383420.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		ABA45_RS00025	2415	804	
gene	protein_coding	GCF_001043175.1	Primary Assembly	chromosome		NZ_CP011494.1	7990	8712	-							ABA45_RS00030	723		old_locus_tag=ABA45_00030
