# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	1	1467	+					dnaA		FXO11_RS00005	1467		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	1	1467	+	WP_148860971.1	WP_148860971.1		chromosomal replication initiator protein DnaA	dnaA		FXO11_RS00005	1467	488	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	1546	2649	+					dnaN		FXO11_RS00010	1104		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	1546	2649	+	WP_148860972.1	WP_148860972.1		DNA polymerase III subunit beta	dnaN		FXO11_RS00010	1104	367	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	2760	4022	+							FXO11_RS00015	1263		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	2760	4022	+	WP_148860973.1	WP_148860973.1		AarF/ABC1/UbiB kinase family protein			FXO11_RS00015	1263	420	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	4435	5550	+					recF		FXO11_RS00020	1116		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	4435	5550	+	WP_148860974.1	WP_148860974.1		DNA replication/repair protein RecF	recF		FXO11_RS00020	1116	371	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	5653	8070	+					gyrB		FXO11_RS00025	2418		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	5653	8070	+	WP_148860975.1	WP_148860975.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		FXO11_RS00025	2418	805	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	8180	8932	-							FXO11_RS00030	753		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	8180	8932	-	WP_148860976.1	WP_148860976.1		MFS transporter			FXO11_RS00030	753	250	
gene	tRNA	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	9120	9196	-							FXO11_RS00035	77		
tRNA		GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	9120	9196	-				tRNA-Pro			FXO11_RS00035	77		anticodon=CGG
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	9264	9809	-					gmhB		FXO11_RS00040	546		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	9264	9809	-	WP_148860977.1	WP_148860977.1		D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase	gmhB		FXO11_RS00040	546	181	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	9814	11892	-					glyS		FXO11_RS00045	2079		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	9814	11892	-	WP_148860978.1	WP_148860978.1		glycine--tRNA ligase subunit beta	glyS		FXO11_RS00045	2079	692	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	11895	12839	-					glyQ		FXO11_RS00050	945		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	11895	12839	-	WP_148864730.1	WP_148864730.1		glycine--tRNA ligase subunit alpha	glyQ		FXO11_RS00050	945	314	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	13053	14501	-							FXO11_RS00055	1449		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	13053	14501	-	WP_148860979.1	WP_148860979.1		TrkH family potassium uptake protein			FXO11_RS00055	1449	482	
gene	protein_coding	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	14529	15902	-					trkA		FXO11_RS00060	1374		
CDS	with_protein	GCF_008122265.1	Primary Assembly	chromosome		NZ_CP043042.1	14529	15902	-	WP_148860980.1	WP_148860980.1		Trk system potassium transporter TrkA	trkA		FXO11_RS00060	1374	457	
