# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_018972165.1	Primary Assembly	chromosome		NZ_CP076686.1	4419944	5	-							KQ249_RS20710	918		old_locus_tag=KQ249_20710
CDS	with_protein	GCF_018972165.1	Primary Assembly	chromosome		NZ_CP076686.1	4419944	5	-	WP_228732820.1	WP_228732820.1		inorganic phosphate transporter			KQ249_RS20710	918	305	
gene	protein_coding	GCF_018972165.1	Primary Assembly	chromosome		NZ_CP076686.1	4420827	888	+							KQ249_RS00005	918		old_locus_tag=KQ249_00005
CDS	with_protein	GCF_018972165.1	Primary Assembly	chromosome		NZ_CP076686.1	4420827	888	+	WP_228732821.1	WP_228732821.1		hypothetical protein			KQ249_RS00005	918	305	
gene	pseudogene	GCF_018972165.1	Primary Assembly	chromosome		NZ_CP076686.1	1079	1554	+					coaD		KQ249_RS00010	476		pseudo;old_locus_tag=KQ249_00010
CDS	without_protein	GCF_018972165.1	Primary Assembly	chromosome		NZ_CP076686.1	1079	1554	+				pantetheine-phosphate adenylyltransferase	coaD		KQ249_RS00010	476		pseudo
gene	protein_coding	GCF_018972165.1	Primary Assembly	chromosome		NZ_CP076686.1	1563	1907	-							KQ249_RS20715	345		
CDS	with_protein	GCF_018972165.1	Primary Assembly	chromosome		NZ_CP076686.1	1563	1907	-	WP_228732822.1	WP_228732822.1		YdgA family protein			KQ249_RS20715	345	114	
gene	pseudogene	GCF_018972165.1	Primary Assembly	chromosome		NZ_CP076686.1	2060	2883	-							KQ249_RS20720	824		pseudo
CDS	without_protein	GCF_018972165.1	Primary Assembly	chromosome		NZ_CP076686.1	2060	2883	-				YdgA family protein			KQ249_RS20720	824		pseudo
gene	protein_coding	GCF_018972165.1	Primary Assembly	chromosome		NZ_CP076686.1	2920	5061	-					ppk1		KQ249_RS00020	2142		old_locus_tag=KQ249_00020
CDS	with_protein	GCF_018972165.1	Primary Assembly	chromosome		NZ_CP076686.1	2920	5061	-	WP_014578520.1	WP_014578520.1		polyphosphate kinase 1	ppk1		KQ249_RS00020	2142	713	
gene	protein_coding	GCF_018972165.1	Primary Assembly	chromosome		NZ_CP076686.1	5111	6130	-					hemB		KQ249_RS00025	1020		old_locus_tag=KQ249_00025
